09-03 13:17:00.246  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@8b24d8e in: PRE_ON_CREATE
09-03 13:17:00.246  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was DESTROYED
09-03 13:17:00.246  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was DESTROYED
09-03 13:17:00.246  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
09-03 13:17:00.269  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@8b24d8e in: CREATED
09-03 13:17:00.269  6490  6490 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.269  6490  6490 I chatty  : uid=10166(com.example.lunchtray) identical 1 line
09-03 13:17:00.269  6490  6490 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.278  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@8b24d8e in: STARTED
09-03 13:17:00.278  6490  6490 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.279  6490  6490 I chatty  : uid=10166(com.example.lunchtray) identical 1 line
09-03 13:17:00.279  6490  6490 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.279  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@8b24d8e in: RESUMED
09-03 13:17:00.279  6490  6490 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.280  6490  6490 I chatty  : uid=10166(com.example.lunchtray) identical 1 line
09-03 13:17:00.280  6490  6490 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=com.example.lunchtray.MainActivity@8b24d8e
09-03 13:17:00.282   297   349 D goldfish-address-space: claimShared: Ask to claim region [0x3f5c2f000 0x3f6594000]
09-03 13:17:00.299   297   349 D goldfish-address-space: claimShared: Ask to claim region [0x3f4000000 0x3f4965000]
09-03 13:17:00.301   297   349 D goldfish-address-space: claimShared: Ask to claim region [0x3f4965000 0x3f52ca000]
09-03 13:17:00.301   297   349 D goldfish-address-space: claimShared: Ask to claim region [0x3f8000000 0x3f8965000]
09-03 13:17:00.327   519   544 D ArtManagerInternalImpl: /data/misc/iorapd/com.example.lunchtray/1/com.example.lunchtray.MainActivity/compiled_traces/compiled_trace.pb doesn't exist
09-03 13:17:00.327   519   544 I ActivityTaskManager: Displayed com.example.lunchtray/.MainActivity: +121ms
09-03 13:17:00.327   519   537 D EventSequenceValidator: dec AccIntentStartedEvents to 1
09-03 13:17:00.332  6490  6490 D RootViewPicker: Root not ready - waiting: 10ms for one to appear.
09-03 13:17:00.340  1467  6070 I PBSessionCacheImpl: (REDACTED) Deleted sessionId[%d] from persistence.
09-03 13:17:00.343  1467  1637 W SearchServiceCore: Abort, client detached.
09-03 13:17:00.344  6490  6490 D LifecycleMonitor: Lifecycle status change: androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@295e224 in: STOPPED
09-03 13:17:00.344  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@295e224
09-03 13:17:00.344  6490  6490 I chatty  : uid=10166(com.example.lunchtray) identical 1 line
09-03 13:17:00.344  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@295e224
09-03 13:17:00.347  1179  1179 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():3273
09-03 13:17:00.348  1179  1179 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2165 repeatCheckTimes = 0, unlocked = true
