09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.064   519  1458 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
09-03 13:16:57.073  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@46a3b17 in: PRE_ON_CREATE
09-03 13:16:57.073  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was DESTROYED
09-03 13:16:57.073  6490  6490 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
09-03 13:16:57.090  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@46a3b17 in: CREATED
09-03 13:16:57.090  6490  6490 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@46a3b17
09-03 13:16:57.091  6490  6490 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@46a3b17
09-03 13:16:57.096  6490  6490 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@46a3b17 in: STARTED
